Excel Row No,Fail Reason,Invoice No,Member Code,Member Service No,Service Plan No
2,Product No: 資料行 'Product No' 不屬於資料表 DataList。,2016/6/1 下午 12:50:59,MC001200,,0
3,Product No: 資料行 'Product No' 不屬於資料表 DataList。,2016/6/2 上午 12:00:00,MC001200,,0
4,Product No: 資料行 'Product No' 不屬於資料表 DataList。,2016/6/3 下午 12:50:59,MC001200,,0
5,Purchase Date: 指定的轉換無效。,0001/1/1 上午 12:00:00,,,0
6,Purchase Date: 指定的轉換無效。,0001/1/1 上午 12:00:00,,,0
7,Purchase Date: 指定的轉換無效。,0001/1/1 上午 12:00:00,,,0
8,Purchase Date: 指定的轉換無效。,0001/1/1 上午 12:00:00,,,0
